VADEA_ID,VADEA_Breddegrad,VADEA_Lengdegrad,VADEA_Indeks
FJ_RSO_1035,59.588830000000002,10.8179,74
FJ_RSO_1036,59.668817699999998,10.810216,73
FJ_RSO_1037,59.4100848,11.3575243,72
FJ_RSO_1038,59.397151999999998,11.458651100000001,71
FJ_RSO_1039,59.831629999999997,11.35327,70
FJ_RSO_104,59.605490000000003,11.55566,1271
FJ_RSO_1040,59.965384499999999,11.2198688,69
FJ_RSO_1041,59.956204700000001,10.7075143,68
FJ_RSO_1042,59.327080000000002,11.302659999999999,67
FJ_RSO_1043,58.700274700000001,9.1426382999999998,77
FJ_RSO_1045,59.496832900000001,10.853685199999999,64
FJ_RSO_1046,59.2465081,11.026370999999999,63
FJ_RSO_1047,59.758750200000001,10.845546000000001,62
FJ_RSO_1049,60.065752199999999,11.4229375,60
FJ_RSO_105,59.2473314,10.892370700000001,1270
FJ_RSO_1050,60.182841199999999,9.0046377,59
FJ_RSO_1051,59.501259300000001,10.695834400000001,58
FJ_RSO_1052,59.679470000000002,10.876609999999999,57
FJ_RSO_1053,58.9420152,11.6587953,56
FJ_RSO_1054,59.539267899999999,10.7362237,55
FJ_RSO_1055,59.999425000000002,11.0080347,65
FJ_RSO_1056,59.036042500000001,11.011981499999999,78
FJ_RSO_1057,59.106370900000002,10.8715668,79
FJ_RSO_1058,59.879519999999999,10.449170000000001,80
FJ_RSO_1059,59.6058685,11.607713499999999,103
FJ_RSO_106,59.244443500000003,10.9913708,1269
FJ_RSO_1061,60.123080000000002,11.20359,101
FJ_RSO_1062,59.950369999999999,10.772641200000001,100
FJ_RSO_1064,59.829508099999998,10.4810742,98
FJ_RSO_1065,59.251159999999999,11.063789999999999,97
FJ_RSO_1066,60.150753999999999,11.227042900000001,96
FJ_RSO_1067,59.824770000000001,11.15347,95
FJ_RSO_1068,59.484990699999997,11.107206100000001,94
FJ_RSO_1069,59.150700000000001,11.240019999999999,93
FJ_RSO_107,59.364424499999998,11.3986698,1268
FJ_RSO_1070,59.9413476,10.9698805,92
FJ_RSO_1071,61.349126599999998,9.7642880000000005,91
FJ_RSO_1072,59.892380000000003,11.182410000000001,90
FJ_RSO_1073,60.174199999999999,11.48847,89
FJ_RSO_1074,59.948839360000001,10.63744603,88
FJ_RSO_1075,59.350068700000001,10.8921233,87
FJ_RSO_1076,60.254370600000001,11.3002593,86
FJ_RSO_1077,60.205590000000001,11.012,85
FJ_RSO_1078,59.909927099999997,10.786562,84
FJ_RSO_1079,60.143070000000002,11.026260000000001,83
FJ_RSO_108,60.229872499999999,11.5164472,1267
FJ_RSO_1080,59.600340000000003,11.28271,82
FJ_RSO_1081,59.9358152,10.659824800000001,81
FJ_RSO_1082,60.252083599999999,11.0270949,54
FJ_RSO_1083,59.835545099999997,10.3843678,104
FJ_RSO_1084,60.290412199999999,11.237208000000001,53
FJ_RSO_1085,59.707599999999999,11.14359,51
FJ_RSO_1086,59.923668200000002,10.7659384,23
FJ_RSO_1087,60.038049999999998,11.37106,22
FJ_RSO_1088,60.126600600000003,11.1001178,21
FJ_RSO_1089,59.927160000000001,10.76193,20
FJ_RSO_109,59.217216299999997,10.8420659,1266
FJ_RSO_1090,60.023204900000003,11.0996056,19
FJ_RSO_1091,60.417574299999998,11.0362343,18
FJ_RSO_1092,59.672004600000001,10.6428539,17
FJ_RSO_1093,59.948484200000003,11.011809899999999,16
FJ_RSO_1094,59.301130000000001,11.415039999999999,15
FJ_RSO_1096,59.848300000000002,10.413930000000001,24
FJ_RSO_1097,59.510976399999997,10.696135,13
FJ_RSO_1098,59.13044,11.40371,11
FJ_RSO_1099,59.2335177,10.9791817,10
FJ_RSO_11,59.449453599999998,10.6769052,1150
FJ_RSO_110,59.189890599999998,9.9858872999999999,1265
FJ_RSO_1100,59.861619699999999,10.662055199999999,9
FJ_RSO_1101,59.500322799999999,11.3933936,8
FJ_RSO_1102,60.469459999999998,11.0244,7
FJ_RSO_1103,60.342799999999997,11.27046,6
FJ_RSO_1104,59.763010000000001,11.51601,5
FJ_RSO_1105,59.620719999999999,11.41015,4
FJ_RSO_1106,59.233785300000001,10.427858799999999,3
FJ_RSO_1107,60.397509999999997,11.19205,2
FJ_RSO_1108,60.128476800000001,11.4175486,12
FJ_RSO_1109,60.130369999999999,11.4483,25
